Match_id,Team1,Team2,Season,Toss_winner,Toss_decision,Player_of_match,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
439140,9,0,2009,0,100,V Sibanda,0,BRM Taylor,V Sibanda,T Taibu,H Masakadza,E Chigumbura,S Matsikenyeri,GA Lamb,P Utseya,RW Price,AG Cremer,SW Masakadza
439141,9,0,2009,0,100,N Deonarine,9,T Taibu,V Sibanda,BRM Taylor,H Masakadza,S Matsikenyeri,GA Lamb,E Chigumbura,AG Cremer,P Utseya,RW Price,CB Mpofu
439142,9,0,2009,0,101,DJG Sammy,9,D Ramdin,AB Barath,S Chanderpaul,CH Gayle,N Deonarine,DJ Bravo,KA Pollard,DJG Sammy,R Rampaul,NO Miller,KAJ Roach
439143,9,0,2009,9,101,DJ Bravo,9,BRM Taylor,V Sibanda,T Maruma,H Masakadza,T Taibu,S Matsikenyeri,GA Lamb,E Chigumbura,AG Cremer,P Utseya,RW Price
439144,9,0,2009,9,101,CH Gayle,9,BRM Taylor,H Masakadza,T Maruma,V Sibanda,T Taibu,E Chigumbura,CK Coventry,GA Lamb,AG Cremer,P Utseya,RW Price
439147,9,4,2010,9,101,HM Amla,4,AB de Villiers,GC Smith,JH Kallis,HM Amla,JP Duminy,DA Miller,J Botha,R McLaren,DW Steyn,LL Tsotsobe,M Morkel
439148,9,4,2010,4,100,HM Amla,4,AB de Villiers,HM Amla,JH Kallis,GC Smith,DA Miller,AN Petersen,R McLaren,DW Steyn,LL Tsotsobe,M Morkel,J Botha
439149,9,4,2010,4,100,AB de Villiers,4,AB de Villiers,GC Smith,JH Kallis,HM Amla,AN Petersen,DA Miller,J Botha,R McLaren,DW Steyn,M Morkel,CK Langeveldt
439150,9,4,2010,9,100,HM Amla,4,DJ Bravo,CH Gayle,S Chanderpaul,DM Richards,DM Bravo,KA Pollard,DJG Sammy,DE Bernard,R Rampaul,SJ Benn,Nan
439151,9,4,2010,9,100,JH Kallis,4,DM Bravo,CH Gayle,S Chanderpaul,DM Richards,DJ Bravo,N Deonarine,KA Pollard,DJG Sammy,JE Taylor,DE Bernard,Nan
441827,1,4,2010,4,101,RA Jadeja,1,MS Dhoni,SR Tendulkar,KD Karthik,V Sehwag,V Kohli,SK Raina,YK Pathan,RA Jadeja,P Kumar,A Nehra,S Sreesanth
441828,1,4,2010,1,100,SR Tendulkar,1,YK Pathan,SR Tendulkar,KD Karthik,V Sehwag,MS Dhoni,P Kumar,A Nehra,S Sreesanth,RA Jadeja,Nan,Nan
441829,1,4,2010,4,100,AB de Villiers,4,AB de Villiers,HM Amla,JH Kallis,LE Bosman,DW Steyn,LL Tsotsobe,M Morkel,RE van der Merwe,J Botha,Nan,Nan
446957,7,8,2010,7,100,AD Mathews,8,MEK Hussey,BJ Haddin,MJ Clarke,SR Watson,CL White,SE Marsh,SPD Smith,MG Johnson,JW Hastings,XJ Doherty,PM Siddle
446958,7,8,2010,8,100,WU Tharanga,8,KC Sangakkara,TM Dilshan,DPMD Jayawardene,WU Tharanga,AD Mathews,SL Malinga,KMDN Kulasekara,NLTC Perera,M Muralitharan,S Randiv,Nan
446959,7,8,2010,8,100,CJ McKay,7,DPMD Jayawardene,TM Dilshan,KC Sangakkara,WU Tharanga,LPC Silva,AD Mathews,BMAJ Mendis,S Randiv,NLTC Perera,SL Malinga,CRD Fernando
446962,7,3,2010,3,100,SR Watson,7,KP Pietersen,SM Davies,IJL Trott,AJ Strauss,IR Bell,EJG Morgan,MH Yardy,TT Bresnan,GP Swann,A Shahzad,CT Tremlett
446963,7,3,2010,3,101,SE Marsh,7,CL White,BJ Haddin,MJ Clarke,SR Watson,DJ Hussey,SE Marsh,SPD Smith,NM Hauritz,B Lee,DE Bollinger,SW Tait
446964,7,3,2010,3,100,B Lee,7,IR Bell,MJ Prior,IJL Trott,AJ Strauss,EJG Morgan,PD Collingwood,MH Yardy,LJ Wright,CR Woakes,A Shahzad,CT Tremlett
446965,7,3,2010,3,100,IJL Trott,3,KP Pietersen,MJ Prior,IJL Trott,AJ Strauss,IR Bell,EJG Morgan,PD Collingwood,MH Yardy,A Shahzad,CT Tremlett,JM Anderson
446966,7,3,2010,7,100,CR Woakes,7,MJ Clarke,BJ Haddin,SE Marsh,SR Watson,CL White,DJ Hussey,SPD Smith,MG Johnson,JW Hastings,B Lee,DE Bollinger
446967,7,3,2010,3,100,IJL Trott,7,KP Pietersen,MJ Prior,IJL Trott,AJ Strauss,IR Bell,EJG Morgan,PD Collingwood,CR Woakes,JM Anderson,ST Finn,MH Yardy
446968,7,3,2010,7,100,AC Voges,7,CL White,BJ Haddin,CJ Ferguson,TD Paine,DJ Hussey,AC Voges,MG Johnson,JW Hastings,JJ Krejza,SW Tait,DE Bollinger
452146,0,1,2010,1,100,BRM Taylor,0,SK Raina,M Vijay,RG Sharma,KD Karthik,RA Jadeja,YK Pathan,V Kohli,AB Dinda,R Vinay Kumar,UT Yadav,A Mishra
